0 1 2
1067676379985121280 3 1738
1067595319087718400 20 1192
1067588276842872832 0 7
1067523579032584192 80 4260
1067520402547724288 29570 231457
1067509354771947521 2 235
1067506649743663104 1 294
1067494820413878273 1 9
1067474858320297985 0 11
1067471121560285184 694 14893
1067470338391506945 0 62
1067468335850360832 0 122
1067467167342440450 1 57
1067466292670726144 8 899
1067465795217883138 1725 10629
1067212347624890368 93681 0
1067175081623912448 0 2
1067161283961778176 1 33
1067133571566051329 1 16
1067120168449523713 0 2
1067110175260188673 1 477
1067107032308817920 7 722
1067106022534406144 0 2
1067105907480383489 2 568
1067104056991207424 22931 160027
1067094043002327042 0 8
1066863777373663233 0 18
1066861708562575360 2 861
1066861535232954369 0 107
1066859164960518145 16989 130540
1066843724183945217 0 10
1066825768049750016 0 2
1066807667644162048 0 4
1066807230283087874 0 19
1066794206981701634 0 10
1066790835973439489 0 119
1066788934682853376 8 686
1066473300690460672 0 19
1066466989441458177 0 2
1066463079196753920 0 5
1066462901324734464 11 1030
1066447320659763200 0 18
1066443577226608640 0 1
1066418007008833536 15 1895
1066414769626853376 7 255
1066413466628571146 6782 71097
1066408593950420992 0 11
1066127426206531587 0 17
1066123849148899328 2 238
1066120512227745794 7784 78238
1066066914127085568 0 98
1066063394548129793 0 6
1066049196220973068 0 33
1066048138069315584 0 45
1066025883448864768 0 145
1066023920380329984 5 351
1066022814044573696 0 135
1066020762019082245 0 239
1066019793109692418 1 289
1066019152345870344 18 858
1066019057919508482 0 112
1066018456330530816 448 8533
1066012242146197504 0 19
1065804581882466304 0 36
1065792516136538113 0 72
1065703750336241664 142 1975
1065674428489629697 22912 118048
1065430526876635136 0 153
1065405792512299010 0 5
1065404969371820038 0 59
1065391630671380480 0 14
1065382351486820353 0 11
1065318101691113472 21 1680
1065297678693818368 14 1290
1065297554617847809 21 1245
1065297128254316547 26656 143719
1065287801648893953 0 10
1065081304239214592 12105 0
1065009092585025536 0 6
1064978638880296962 2 151
1064977336540508169 0 25
1064975688652988416 4 124
1064973545623748608 0 17
1064972080582664192 457 4727
1064968465797267458 0 32
1064967491871535115 0 8
1064935062335045632 11459 91221
1064664691807522816 0 216
1064612654688411655 1 392
1064596109144805376 0 10
1064590022689599488 54 678
1064587828150059009 6 1355
1064586842056593408 31 670
1064584805587783681 259 12310
1064584568223744001 2 985
1064582797233479685 21989 152639
1064324730373705728 2 298
